Time,Vmx_relative,kp3_relative,reduction_factor,rat_multiplier,autosens_ratio,sick,autotune_isf,effective_isf,pump_isf,bg
2018-01-01 08:00:00,1.0,1.0,1.0,1.0,,,,,,145.7975116766799
2018-01-01 08:05:00,1.0,1.0,1.0,1.0,,,,,,145.26193506528236
2018-01-01 08:10:00,1.0,1.0,1.0,1.0,,,,,,142.74365445286236
2018-01-01 08:15:00,1.0,1.0,1.0,1.0,,,,,,140.8624479048505
2018-01-01 08:20:00,1.0,1.0,1.0,1.0,,,,,,138.81287834706157
2018-01-01 08:25:00,1.0,1.0,1.0,1.0,,,,,,135.8844320650234
2018-01-01 08:30:00,1.0,1.0,1.0,1.0,,,,,,132.15162010323255
2018-01-01 08:35:00,1.0,1.0,1.0,1.0,,,,,,129.36127665273253
2018-01-01 08:40:00,1.0,1.0,1.0,1.0,,,,,,129.44725540060315
2018-01-01 08:45:00,1.0,1.0,1.0,1.0,,,,,,132.6774613310866
2018-01-01 08:50:00,1.0,1.0,1.0,1.0,,,,,,135.7763552762994
2018-01-01 08:55:00,1.0,1.0,1.0,1.0,,,,,,134.9580882256883
2018-01-01 09:00:00,1.0,1.0,1.0,1.0,,,,,,129.00758374228536
2018-01-01 09:05:00,1.0,1.0,1.0,1.0,,,,,,122.1700988445466
2018-01-01 09:10:00,1.0,1.0,1.0,1.0,,,,,,119.64766735053469
2018-01-01 09:15:00,1.0,1.0,1.0,1.0,,,,,,123.95499121751966
2018-01-01 09:20:00,1.0,1.0,1.0,1.0,,,,,,131.7606431261369
2018-01-01 09:25:00,1.0,1.0,1.0,1.0,,,,,,138.15269036402964
2018-01-01 09:30:00,1.0,1.0,1.0,1.0,,,,,,139.99835376168483
2018-01-01 09:35:00,1.0,1.0,1.0,1.0,,,,,,139.49743963411166
2018-01-01 09:40:00,1.0,1.0,1.0,1.0,,,,,,139.97536624712654
2018-01-01 09:45:00,1.0,1.0,1.0,1.0,,,,,,143.25360617922033
2018-01-01 09:50:00,1.0,1.0,1.0,1.0,,,,,,148.00732848126816
2018-01-01 09:55:00,1.0,1.0,1.0,1.0,,,,,,152.28442645033033
2018-01-01 10:00:00,1.0,1.0,1.0,1.0,,,,,,154.989759740874
2018-01-01 10:05:00,1.0,1.0,1.0,1.0,,,,,,156.837211225629
2018-01-01 10:10:00,1.0,1.0,1.0,1.0,,,,,,158.97789931650553
2018-01-01 10:15:00,1.0,1.0,1.0,1.0,,,,,,162.57663360160558
2018-01-01 10:20:00,1.0,1.0,1.0,1.0,,,,,,168.81059752171606
2018-01-01 10:25:00,1.0,1.0,1.0,1.0,,,,,,174.40578830211132
2018-01-01 10:30:00,1.0,1.0,1.0,1.0,,,,,,166.7630979303561
2018-01-01 10:35:00,1.0,1.0,1.0,1.0,,,,,,162.83128709232602
2018-01-01 10:40:00,1.0,1.0,1.0,1.0,,,,,,161.49377448193667
2018-01-01 10:45:00,1.0,1.0,1.0,1.0,,,,,,161.63818146704386
2018-01-01 10:50:00,1.0,1.0,1.0,1.0,,,,,,162.15531292389426
2018-01-01 10:55:00,1.0,1.0,1.0,1.0,,,,,,162.02767149889854
2018-01-01 11:00:00,1.0,1.0,1.0,1.0,,,,,,160.95069058611773
2018-01-01 11:05:00,1.0,1.0,1.0,1.0,,,,,,160.13114163589458
2018-01-01 11:10:00,1.0,1.0,1.0,1.0,,,,,,160.99332655576055
2018-01-01 11:15:00,1.0,1.0,1.0,1.0,,,,,,163.85408244130565
2018-01-01 11:20:00,1.0,1.0,1.0,1.0,,,,,,166.6764950497191
2018-01-01 11:25:00,1.0,1.0,1.0,1.0,,,,,,167.04343544618075
2018-01-01 11:30:00,1.0,1.0,1.0,1.0,,,,,,163.9236126163117
2018-01-01 11:35:00,1.0,1.0,1.0,1.0,,,,,,159.23011502940685
2018-01-01 11:40:00,1.0,1.0,1.0,1.0,,,,,,155.4274294443379
2018-01-01 11:45:00,1.0,1.0,1.0,1.0,,,,,,153.839250628713
2018-01-01 11:50:00,1.0,1.0,1.0,1.0,,,,,,153.3617535035069
2018-01-01 11:55:00,1.0,1.0,1.0,1.0,,,,,,152.41317282614142
2018-01-01 12:00:00,1.0,1.0,1.0,1.0,,,,,,150.18069945975108
